[32mWaf: Entering directory `/home/parallels/Desktop/NS3/ns-allinone-3.26/ns-3.26/build'[0m
[1765/1903] Compiling [32mscratch/wenxin/p3.cc[0m
[1870/1903] Linking [33mbuild/scratch/wenxin/wenxin[0m
[32mWaf: Leaving directory `/home/parallels/Desktop/NS3/ns-allinone-3.26/ns-3.26/build'[0m
[32mBuild commands will be stored in build/compile_commands.json[0m
[32m'build' finished successfully (5.741s)[0m
Nix Vector Enabled 
1 0 0
1 0 10
1 0 20
1 0 29
1 0 40
1 0 50
1 0 59
1 0 70
2 0 80
2 0 89
3 0 100
3 0 110
7 0 119
8 0 130
11 0 140
14 0 149
21 0 160
26 0 170
35 0 179
50 0 190
60 0 200
79 0 209
101 0 220
152 0 230
201 0 239
260 0 250
327 0 260
406 0 270
512 0 280
658 0 289
770 0 299
945 0 309
1114 0 320
1266 0 330
1409 0 340
1544 0 350
1670 0 359
1755 0 369
1829 0 380
1884 0 390
1943 0 400
1981 0 410
1996 0 419
2013 0 429
2026 0 440
2032 0 450
2036 0 460
2039 0 470
2042 0 479
2044 0 489
2045 0 500
2046 0 510
2047 0 520
2047 0 530
2047 0 540
2047 0 550
2047 0 560
2047 0 570
2047 0 579
2047 0 589
2047 0 599
2048 0 609
2048 0 619
2048 0 630
2048 0 640
2048 0 650
2048 0 660
2048 0 670
2048 0 680
2048 0 690
2048 0 700
2048 0 709
2048 0 719
2048 0 729
2048 0 739
2048 0 750
2048 0 760
2048 0 770
2048 0 780
2048 0 790
2048 0 800
2048 0 810
2048 0 820
2048 0 830
2048 0 839
