[32mWaf: Entering directory `/root/workspace/ns-allinone-3.26/ns-3.26/build'[0m
[1787/1923] Compiling [32mscratch/worm/p3.cc[0m
[1873/1923] Linking [33mbuild/scratch/worm/worm[0m
[32mWaf: Leaving directory `/root/workspace/ns-allinone-3.26/ns-3.26/build'[0m
[32mBuild commands will be stored in build/compile_commands.json[0m
[32m'build' finished successfully (4.048s)[0m
--------------------------------------------------------------------------
[[30181,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ubuntu

Another transport will be used instead, although this may result in
lower performance.
--------------------------------------------------------------------------
Nix Vector Enabled 
1 0 0
1 0 10
1 0 20
1 0 29
1 0 40
1 0 50
1 0 59
1 0 70
1 0 80
2 0 89
2 0 100
3 0 110
3 0 119
7 0 130
8 0 140
10 0 149
12 0 160
20 0 170
24 0 179
32 0 190
46 0 200
55 0 209
65 0 220
84 0 230
117 0 239
146 0 250
185 0 260
227 0 270
274 0 280
338 0 289
423 0 299
530 0 309
635 0 320
749 0 330
847 0 340
956 0 350
1078 0 359
1190 0 369
1300 0 380
1406 0 390
1493 0 400
1580 0 410
1651 0 419
1720 0 429
1773 0 440
1814 0 450
1854 0 460
1880 0 470
1914 0 479
1928 0 489
1951 0 500
1975 0 510
1990 0 520
2002 0 530
2011 0 540
2013 0 550
2019 0 560
2023 0 570
2027 0 579
2031 0 589
2034 0 599
2037 0 609
2037 0 619
2039 0 630
2043 0 640
2044 0 650
2046 0 660
2046 0 670
2047 0 680
2047 0 690
2047 0 700
2047 0 709
2047 0 719
2047 0 729
2047 0 739
2047 0 750
2047 0 760
2048 0 770
2048 0 780
2048 0 790
2048 0 800
2048 0 810
2048 0 820
2048 0 830
2048 0 839
2048 0 849
2048 0 859
2048 0 869
2048 0 880
2048 0 890
2048 0 900
2048 0 910
2048 0 920
2048 0 930
2048 0 940
