[32mWaf: Entering directory `/home/parallels/Desktop/NS3/ns-allinone-3.26/ns-3.26/build'[0m
[1766/1903] Compiling [32mscratch/wenxin/p3.cc[0m
[1866/1903] Linking [33mbuild/scratch/wenxin/wenxin[0m
[32mWaf: Leaving directory `/home/parallels/Desktop/NS3/ns-allinone-3.26/ns-3.26/build'[0m
[32mBuild commands will be stored in build/compile_commands.json[0m
[32m'build' finished successfully (3.819s)[0m
Nix Vector Enabled 
1 0 0
1 0 10
1 0 20
1 0 29
1 0 40
1 0 50
1 0 59
1 0 70
1 0 80
1 0 89
1 0 100
1 0 110
1 0 119
1 0 130
1 0 140
1 0 149
1 0 160
1 0 170
1 0 179
1 0 190
2 0 200
2 0 209
2 0 220
2 0 230
2 0 239
2 0 250
2 0 260
2 0 270
2 0 280
3 0 289
3 0 299
3 0 309
3 0 320
3 0 330
4 0 340
4 0 350
5 0 359
5 0 369
5 0 380
5 0 390
6 0 400
6 0 410
7 0 419
7 0 429
7 0 440
7 0 450
7 0 460
7 0 470
7 0 479
7 0 489
7 0 500
7 0 510
7 0 520
7 0 530
7 0 540
7 0 550
8 0 560
8 0 570
8 0 579
8 0 589
9 0 599
9 0 609
9 0 619
9 0 630
9 0 640
9 0 650
9 0 660
9 0 670
9 0 680
9 0 690
9 0 700
9 0 709
9 0 719
9 0 729
10 0 739
10 0 750
10 0 760
10 0 770
10 0 780
10 0 790
10 0 800
10 0 810
11 0 820
12 0 830
12 0 839
12 0 849
12 0 859
12 0 869
12 0 880
12 0 890
12 0 900
12 0 910
13 0 920
13 0 930
13 0 940
13 0 950
13 0 959
13 0 969
13 0 979
13 0 989
13 0 1000
14 0 1010
14 0 1020
15 0 1030
15 0 1040
15 0 1050
15 0 1060
15 0 1070
15 0 1080
16 0 1090
16 0 1100
16 0 1110
17 0 1120
17 0 1130
17 0 1140
17 0 1150
17 0 1159
17 0 1169
17 0 1179
17 0 1189
17 0 1199
17 0 1209
17 0 1219
18 0 1229
18 0 1239
18 0 1250
18 0 1260
18 0 1270
18 0 1280
18 0 1290
18 0 1300
20 0 1310
20 0 1320
20 0 1330
20 0 1340
20 0 1350
20 0 1360
22 0 1370
22 0 1380
22 0 1390
22 0 1400
22 0 1409
22 0 1419
22 0 1429
22 0 1439
22 0 1449
22 0 1459
22 0 1469
22 0 1479
23 0 1489
23 0 1500
23 0 1510
23 0 1520
24 0 1530
24 0 1540
24 0 1550
24 0 1560
24 0 1570
25 0 1580
25 0 1590
25 0 1600
26 0 1610
26 0 1620
26 0 1630
27 0 1640
27 0 1650
27 0 1660
27 0 1669
27 0 1679
27 0 1689
27 0 1699
27 0 1709
27 0 1719
27 0 1729
27 0 1739
28 0 1750
28 0 1760
29 0 1770
30 0 1780
30 0 1790
30 0 1800
30 0 1810
30 0 1820
32 0 1830
32 0 1840
32 0 1850
32 0 1860
32 0 1870
32 0 1880
32 0 1890
32 0 1900
33 0 1910
33 0 1919
33 0 1929
33 0 1939
33 0 1949
33 0 1959
33 0 1969
33 0 1979
34 0 1989
34 0 2000
34 0 2010
34 0 2020
35 0 2030
35 0 2040
35 0 2049
37 0 2060
37 0 2069
37 0 2080
38 0 2089
38 0 2100
38 0 2109
39 0 2120
39 0 2129
39 0 2140
39 0 2149
42 0 2160
43 0 2169
44 0 2180
44 0 2189
44 0 2200
45 0 2209
45 0 2220
45 0 2229
45 0 2240
45 0 2250
45 0 2260
45 0 2270
45 0 2280
45 0 2290
45 0 2300
45 0 2310
45 0 2319
45 0 2330
47 0 2339
47 0 2350
47 0 2359
47 0 2370
47 0 2379
47 0 2390
47 0 2399
48 0 2410
48 0 2419
49 0 2430
50 0 2439
50 0 2450
50 0 2459
51 0 2470
51 0 2479
53 0 2490
53 0 2500
54 0 2510
54 0 2520
54 0 2530
55 0 2540
56 0 2550
56 0 2560
56 0 2569
56 0 2580
57 0 2589
57 0 2600
57 0 2609
58 0 2620
58 0 2629
58 0 2640
58 0 2649
59 0 2660
59 0 2669
59 0 2680
59 0 2689
60 0 2700
60 0 2709
60 0 2720
60 0 2729
61 0 2740
62 0 2750
63 0 2760
63 0 2770
63 0 2780
64 0 2790
64 0 2800
64 0 2810
64 0 2819
66 0 2830
66 0 2839
66 0 2850
66 0 2859
66 0 2870
66 0 2879
66 0 2890
66 0 2899
67 0 2910
67 0 2919
67 0 2930
67 0 2939
67 0 2950
68 0 2959
68 0 2970
71 0 2979
71 0 2990
71 0 3000
71 0 3010
71 0 3020
73 0 3030
74 0 3040
74 0 3050
74 0 3060
74 0 3070
74 0 3080
75 0 3089
75 0 3100
75 0 3109
77 0 3120
79 0 3129
80 0 3140
80 0 3149
80 0 3160
82 0 3169
82 0 3180
82 0 3189
82 0 3200
83 0 3209
84 0 3220
84 0 3229
85 0 3240
86 0 3250
86 0 3260
86 0 3270
86 0 3280
86 0 3290
86 0 3300
87 0 3310
89 0 3320
89 0 3330
90 0 3339
93 0 3350
93 0 3359
93 0 3370
93 0 3379
94 0 3390
94 0 3399
94 0 3410
94 0 3419
94 0 3430
94 0 3439
95 0 3450
96 0 3459
96 0 3470
96 0 3479
96 0 3490
96 0 3500
97 0 3510
99 0 3520
99 0 3530
99 0 3540
99 0 3550
99 0 3560
100 0 3570
100 0 3580
100 0 3589
100 0 3600
102 0 3609
102 0 3620
102 0 3629
102 0 3640
104 0 3649
104 0 3660
104 0 3669
104 0 3680
105 0 3689
106 0 3700
106 0 3709
108 0 3720
109 0 3729
109 0 3740
109 0 3750
110 0 3760
111 0 3770
112 0 3780
112 0 3790
114 0 3800
114 0 3810
115 0 3820
116 0 3830
116 0 3839
116 0 3850
116 0 3859
116 0 3870
116 0 3879
116 0 3890
116 0 3899
118 0 3910
118 0 3919
119 0 3930
120 0 3939
123 0 3950
123 0 3959
123 0 3970
123 0 3979
123 0 3990
124 0 4000
124 0 4009
126 0 4020
127 0 4030
127 0 4040
127 0 4049
127 0 4060
128 0 4070
129 0 4080
130 0 4089
130 0 4099
130 0 4110
132 0 4120
132 0 4129
134 0 4139
134 0 4150
134 0 4160
135 0 4169
135 0 4179
135 0 4190
135 0 4200
137 0 4209
139 0 4219
141 0 4230
143 0 4240
144 0 4250
144 0 4259
147 0 4270
148 0 4280
149 0 4290
151 0 4299
152 0 4310
153 0 4320
153 0 4330
153 0 4339
153 0 4350
156 0 4360
157 0 4370
157 0 4379
158 0 4389
158 0 4400
159 0 4410
161 0 4419
163 0 4429
164 0 4440
165 0 4450
167 0 4459
167 0 4469
169 0 4480
169 0 4490
170 0 4500
170 0 4509
170 0 4520
170 0 4530
171 0 4540
171 0 4549
174 0 4560
174 0 4570
174 0 4580
174 0 4589
174 0 4600
175 0 4610
176 0 4620
176 0 4629
176 0 4639
177 0 4650
179 0 4660
179 0 4669
182 0 4679
184 0 4690
184 0 4700
185 0 4709
188 0 4719
189 0 4730
190 0 4740
192 0 4750
195 0 4759
197 0 4770
199 0 4780
200 0 4790
202 0 4799
204 0 4810
206 0 4820
206 0 4830
206 0 4839
206 0 4850
206 0 4860
206 0 4870
207 0 4879
207 0 4889
207 0 4900
207 0 4910
211 0 4919
213 0 4929
214 0 4940
215 0 4950
216 0 4959
218 0 4969
220 0 4980
221 0 4990
222 0 5000
-----
Runtime Stats:
Simulator init time: 2.97075
Simulator run time: 960.475
Total elapsed time: 963.446
