[32mWaf: Entering directory `/home/parallels/Desktop/NS3/ns-allinone-3.26/ns-3.26/build'[0m
[1763/1903] Compiling [32mscratch/wenxin/p3.cc[0m
[1849/1903] Linking [33mbuild/scratch/wenxin/wenxin[0m
[32mWaf: Leaving directory `/home/parallels/Desktop/NS3/ns-allinone-3.26/ns-3.26/build'[0m
[32mBuild commands will be stored in build/compile_commands.json[0m
[32m'build' finished successfully (6.144s)[0m
Nix Vector Enabled 
1 0 0
1 0 10
1 0 20
1 0 29
1 0 40
1 0 50
1 0 59
1 0 70
1 0 80
2 0 89
2 0 100
3 0 110
3 0 119
7 0 130
8 0 140
10 0 149
12 0 160
20 0 170
24 0 179
32 0 190
46 0 200
54 0 209
56 0 220
63 0 230
77 0 239
87 0 250
97 0 260
106 0 270
114 0 280
139 0 289
190 0 299
242 0 309
331 0 320
407 0 330
500 0 340
592 0 350
687 0 359
801 0 369
930 0 380
1041 0 390
1140 0 400
1220 0 410
1292 0 419
1361 0 429
1413 0 440
1467 0 450
1515 0 460
1569 0 470
1612 0 479
1640 0 489
1684 0 500
1728 0 510
1771 0 520
1810 0 530
1836 0 540
1862 0 550
1889 0 560
1907 0 570
1925 0 579
1937 0 589
1953 0 599
1968 0 609
1981 0 619
1998 0 630
2009 0 640
2012 0 650
2021 0 660
2029 0 670
2033 0 680
2035 0 690
2035 0 700
2037 0 709
2042 0 719
2042 0 729
2042 0 739
2043 0 750
2044 0 760
2046 0 770
2046 0 780
2046 0 790
2047 0 800
2047 0 810
2047 0 820
2047 0 830
2047 0 839
2048 0 849
2048 0 859
2048 0 869
2048 0 880
2048 0 890
2048 0 900
2048 0 910
2048 0 920
2048 0 930
2048 0 940
2048 0 950
2048 0 959
2048 0 969
2048 0 979
2048 0 989
2048 0 1000
2048 0 1010
2048 0 1020
2048 0 1030
2048 0 1040
2048 0 1050
2048 0 1060
2048 0 1070
2048 0 1080
2048 0 1090
2048 0 1100
2048 0 1110
2048 0 1120
2048 0 1130
2048 0 1140
2048 0 1150
2048 0 1159
2048 0 1169
2048 0 1179
2048 0 1189
2048 0 1199
2048 0 1209
2048 0 1219
2048 0 1229
2048 0 1239
2048 0 1250
2048 0 1260
2048 0 1270
2048 0 1280
2048 0 1290
2048 0 1300
2048 0 1310
2048 0 1320
2048 0 1330
2048 0 1340
2048 0 1350
2048 0 1360
2048 0 1370
2048 0 1380
2048 0 1390
2048 0 1400
2048 0 1409
2048 0 1419
2048 0 1429
2048 0 1439
2048 0 1449
2048 0 1459
2048 0 1469
2048 0 1479
2048 0 1489
2048 0 1500
2048 0 1510
2048 0 1520
2048 0 1530
2048 0 1540
2048 0 1550
2048 0 1560
2048 0 1570
2048 0 1580
2048 0 1590
2048 0 1600
2048 0 1610
2048 0 1620
2048 0 1630
2048 0 1640
2048 0 1650
2048 0 1660
2048 0 1669
2048 0 1679
2048 0 1689
2048 0 1699
2048 0 1709
2048 0 1719
2048 0 1729
2048 0 1739
2048 0 1750
2048 0 1760
2048 0 1770
2048 0 1780
2048 0 1790
2048 0 1800
2048 0 1810
