[32mWaf: Entering directory `/media/psf/Home/Documents/GraduateStudy/2017Fall/ECE6110/workspace/ns-allinone-3.26/ns-3.26/build'[0m
[ 866/1801] Compiling [32mscratch/wenxin/p3.cc[0m
[1784/1801] Linking [33mbuild/scratch/wenxin/wenxin[0m
[32mWaf: Leaving directory `/media/psf/Home/Documents/GraduateStudy/2017Fall/ECE6110/workspace/ns-allinone-3.26/ns-3.26/build'[0m
[32mBuild commands will be stored in build/compile_commands.json[0m
[32m'build' finished successfully (8.328s)[0m
Nix Vector Enabled 
1 0 0
1 0 10
1 0 20
1 0 29
1 0 40
1 0 50
1 0 59
1 0 70
1 0 80
2 0 89
2 0 100
3 0 110
3 0 119
7 0 130
8 0 140
10 0 149
12 0 160
20 0 170
24 0 179
32 0 190
46 0 200
55 0 209
65 0 220
84 0 230
117 0 239
146 0 250
185 0 260
227 0 270
274 0 280
338 0 289
421 0 299
524 0 309
627 0 320
744 0 330
840 0 340
945 0 350
1061 0 359
1167 0 369
1270 0 380
1352 0 390
1444 0 400
1511 0 410
1571 0 419
1617 0 429
1662 0 440
1690 0 450
1717 0 460
1721 0 470
1739 0 479
1750 0 489
1754 0 500
1763 0 510
1763 0 520
1758 0 530
1760 0 540
1758 0 550
1758 0 560
1760 0 570
1752 0 579
1745 0 589
1731 0 599
1721 0 609
1709 0 619
1697 0 630
1685 0 640
1669 0 650
1654 0 660
1641 0 670
1628 0 680
1610 0 690
1599 0 700
1587 0 709
1578 0 719
1562 0 729
1552 0 739
1538 0 750
1521 0 760
1510 0 770
1496 0 780
1483 0 790
1465 0 800
1451 0 810
1434 0 820
1428 0 830
1412 0 839
1402 0 849
1380 0 859
1364 0 869
1347 0 880
1336 0 890
1320 0 900
1301 0 910
1274 0 920
1256 0 930
1242 0 940
1232 0 950
1210 0 959
1194 0 969
1178 0 979
1156 0 989
1129 0 1000
-----
Runtime Stats:
Simulator init time: 3.02594
Simulator run time: 2549.43
Total elapsed time: 2552.46
